canonical_brand,aliases
#Juan-Roll,JUAN-ROLL | #Juan | #JUAN-ROLL
5 Boro,5-Boro | 5 BORO
6 Points Cannabis,6 Point Cannabis
Aeterna,Aeterna Cannabis
American Donut Maker,American Donut Makers
American Hash Makers,American Hash Maker
B-Side,B-Side Cannabis | B Side Cannabis
Back Home Cannabis Co.,Back Home Cannabis | Back Home Farms
Bison Botanics,BISON | Bison Botanincs
Bob Marley,BOB MARLEY
Bodega Boys,BODEGA BOYZ
Buff Puff,BuffPuff
Cannabals,CANNABALS
Cosmos!,Cosmos
EUREKA,Eureka
Eaton,EATON
Empire Cannabis,EMPIRE CANNABIS
Empire Hemp Co,Empire Hemp Co.
Farmer Jim's,Farmer Jim’s
Flwr City,FLWR City
Generic AF,GENERIC AF
Grocery,grocery
Grow 716,Grow716
HI*AF,Hi*AF
Hashtag Honey,HashTag Honey
Herb,HERB
High Peaks,HIGH PEAKS
HiiSTIX,HiiStix
House of Sacci,House Of Sacci
I Am Goodness,I am Goodness
Jive,JIVE
KIAN,Kian
Kings Road,KINGS ROAD | King's Road | Kingsroad
Knack,KNACK
LIONS MANE TREE'S,Lions Mane Trees
LOVE OUI'D,love Oui'd
Layup,layup | LayUp | Lay Up
LeadFarmer,Lead Farmer | LEADFARMER
Lit by the Lake,Lit By The Lake
Mega,MEGA
Mini Mart,Mini MART | mini MART
Moods,MOODS
Moonlit Hash Co.,Moonlit Hash Co
Moony's Zooties,Moonys Zooties
NOM NOM,Nom Nom
Nanti Nitro,NANTI NITRO
Next,NEXT
Noizey,NoiZey
Nyce,NYCE
O-Yeah,O-YEAH | O-Yeah!
Off Hours,OFF HOURS
Outrankd,OUTRANKD
PICC,Picc
PUMA,Puma
Pines,PINES
Pixii,PIXII
Puff,PUFF
Ready 2 Roll,Ready2Roll
SMACK.,Smack | SMACK
Silly Nice,SiLLY NiCE
Skyworld,SkyWorld
Smart Bud,Smartbud | SmartBud
Smoke,SMOKE
Spacebuds,SpaceBuds | Space buds
State Of Mind,STATE OF MIND | State of Mind
SunDrift,Sun Drift
Super Dope,Superdope
Supernaturals,Super Naturals
Sushi Hash,SUSHI HASH | Sushi hash
Trout & Co.,Trout & Co
Twic3 Bak3d,TWIC3 BAK3D
Untitled,untitled
Wanna Jive,Wanna JIVE
ZOO,Zoo
